"id","name","date","rating_value","review_title","review_text","url","profile_picture","reviewer_title","verified_order","language_code","meta_data","unique_id","location","source"
"1698828142","No pineapples on pizza","2020-12-06","5.0","Great product!","Got it at a good discounted price fast shipping and definitely affordable for the features youll get!","https://www.amazon.com/gp/customer-reviews/RQX0BLNE5XG5F","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX460_.png","","true","en","","RQX0BLNE5XG5F","","https://www.amazon.com/New-Apple-Watch-SE-40mm/dp/B08J5ZRFRG/ref=sr_1_1?dchild=1&keywords=apple watch&qid=1607388738&refinements=p_89:Apple&rnid=2528832011&s=wearable-tech&sr=1-1"
"1698828144","Martin","2020-12-05","5.0","Nice watch","My daughter loves this gift so much!!","https://www.amazon.com/gp/customer-reviews/R2G3U3KZK1XQRT","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX460_.png","","true","en","","R2G3U3KZK1XQRT","","https://www.amazon.com/New-Apple-Watch-SE-40mm/dp/B08J5ZRFRG/ref=sr_1_1?dchild=1&keywords=apple watch&qid=1607388738&refinements=p_89:Apple&rnid=2528832011&s=wearable-tech&sr=1-1"
"1698828146","Kaila Flemming","2020-12-05","5.0","Amazing","I love this. So easy to use and convenient","https://www.amazon.com/gp/customer-reviews/R39ORBHRP4X7OV","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX460_.png","","true","en","","R39ORBHRP4X7OV","","https://www.amazon.com/New-Apple-Watch-SE-40mm/dp/B08J5ZRFRG/ref=sr_1_1?dchild=1&keywords=apple watch&qid=1607388738&refinements=p_89:Apple&rnid=2528832011&s=wearable-tech&sr=1-1"
"1698828147","Georges Ishak","2020-12-05","5.0","Apple watch SE","Value for money. Amazing watch","https://www.amazon.com/gp/customer-reviews/RTZ3CJ24Q68LI","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX460_.png","","true","en","","RTZ3CJ24Q68LI","","https://www.amazon.com/New-Apple-Watch-SE-40mm/dp/B08J5ZRFRG/ref=sr_1_1?dchild=1&keywords=apple watch&qid=1607388738&refinements=p_89:Apple&rnid=2528832011&s=wearable-tech&sr=1-1"
"1698828149","Frederick Holl","2020-12-05","3.0","Lousy battery","Disappointed that the battery needs recharging every 4 hours.  They could have made it with a better battery.","https://www.amazon.com/gp/customer-reviews/R3HISVGM0LPAHK","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX460_.png","","true","en","","R3HISVGM0LPAHK","","https://www.amazon.com/New-Apple-Watch-SE-40mm/dp/B08J5ZRFRG/ref=sr_1_1?dchild=1&keywords=apple watch&qid=1607388738&refinements=p_89:Apple&rnid=2528832011&s=wearable-tech&sr=1-1"
"1698828150","Verna Mooney","2020-12-05","4.0","Satisfied!","I purchased to help track fitness, but really like the phone and texting features as well as the ability to ch class weather, emails, etc.","https://www.amazon.com/gp/customer-reviews/R3ICGF5M7Z3ULF","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX460_.png","","true","en","","R3ICGF5M7Z3ULF","","https://www.amazon.com/New-Apple-Watch-SE-40mm/dp/B08J5ZRFRG/ref=sr_1_1?dchild=1&keywords=apple watch&qid=1607388738&refinements=p_89:Apple&rnid=2528832011&s=wearable-tech&sr=1-1"
"1698828152","Tyler Reyes","2020-12-05","5.0","Compatibility","I dislike the idea that it is not compatible on all iphones. I have iphone 6 , what iwatch that is compatible to my phone? IOS updated to 12.4.9","https://www.amazon.com/gp/customer-reviews/RM41WTM3JMAKN","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX460_.png","","true","en","","RM41WTM3JMAKN","","https://www.amazon.com/New-Apple-Watch-SE-40mm/dp/B08J5ZRFRG/ref=sr_1_1?dchild=1&keywords=apple watch&qid=1607388738&refinements=p_89:Apple&rnid=2528832011&s=wearable-tech&sr=1-1"
"1698828153","khalpin","2020-12-05","5.0","Upgraded from Series 1, No Regrets!","Recently upgraded from a Series 1 and the SE is amazing. Much better interface and though I was worried going from 38mm to 40mm case may be too large for my small wrist, it really doesn't look that much different. Well worth the cost compared to the 6 and has all the new watch faces. Love it!","https://www.amazon.com/gp/customer-reviews/R3KWAKQ8T2J9JA","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/f70436c9-8d95-4c22-bddd-4013c98b414e._CR0,0,750,750_SX460_.jpg","","true","en","","R3KWAKQ8T2J9JA","","https://www.amazon.com/New-Apple-Watch-SE-40mm/dp/B08J5ZRFRG/ref=sr_1_1?dchild=1&keywords=apple watch&qid=1607388738&refinements=p_89:Apple&rnid=2528832011&s=wearable-tech&sr=1-1"
"1698828155","JDLA","2020-12-05","4.0","Awesome watch!","Great watch! Love it more than I thought I would. Hooked on tracking the calorie count, breathing app is awesome too. All in all well done Capt. Cook!!","https://www.amazon.com/gp/customer-reviews/R2ME9Y7KP2WPQ2","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX460_.png","","true","en","","R2ME9Y7KP2WPQ2","","https://www.amazon.com/New-Apple-Watch-SE-40mm/dp/B08J5ZRFRG/ref=sr_1_1?dchild=1&keywords=apple watch&qid=1607388738&refinements=p_89:Apple&rnid=2528832011&s=wearable-tech&sr=1-1"
"1698828156","redhead","2020-12-04","5.0","Apple instead","Should buy from the Apple store online. So many more choices in colors and bands, or create your own color combo- and you know you are getting a genuine Apple Watch","https://www.amazon.com/gp/customer-reviews/R367SN3FQNRDR1","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX460_.png","","false","en","","R367SN3FQNRDR1","","https://www.amazon.com/New-Apple-Watch-SE-40mm/dp/B08J5ZRFRG/ref=sr_1_1?dchild=1&keywords=apple watch&qid=1607388738&refinements=p_89:Apple&rnid=2528832011&s=wearable-tech&sr=1-1"
"1698828226","Kleveland","2020-12-04","4.0","Activiy Tracking ""different"" than Fitbit","As a follow-up to a previous review I submitted, I have comments/opinions about the Apple activity tracking features:I have had the Apple watch for 7 weeks:Active minutes on my Apple Watch SE are very different from my Fitbit tracking of minutes.  While my Fitbit does not automatically accumulate minutes until you exceed 10 minutes of continuous activity, the Apple watch will count minutes differently in that it counts minutes from the start of an exercise whether you activate a exercise option (such as indoor walk, outdoor walk, etc.) or not.  This is a nice feature although I find the minute counts on the Apple watch do not mirror the actual time you do the exercise.  For example, I did a brisk indoor walk for 20 elapsed minutes today and the Apple watch only showed 10 active minutes while the Fitbit watch showed the full twenty minutes.  I wear both watches at the same time (on different wrists) and find that overall the Apple watch will show about 40% fewer minutes per day as compared to the Fitbit watch.  I typically average 100-120 minutes per day on the Fitbit watch but only around 70 - 80 minutes on the Apple watch.In summary, the Fitbit watch (I have a Charge 2) counts all the minutes for exercise events lasting 10 minutes or more; the Apple watch counts fewer minutes.  This may have something to do with heart rate zones effecting the minute count on the Apple watch.  I prefer the Fitbit watch's calculations for exercise minute counts because they reflex the real time I exercised.Otherwise, the Apple watch is a great watch and has many nice features.","https://www.amazon.com/gp/customer-reviews/R2TTMIROQS8VOR","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX460_.png","","true","en","","R2TTMIROQS8VOR","","https://www.amazon.com/New-Apple-Watch-SE-40mm/dp/B08J5ZRFRG/ref=sr_1_1?dchild=1&keywords=apple watch&qid=1607388738&refinements=p_89:Apple&rnid=2528832011&s=wearable-tech&sr=1-1"
"1698828228","Carlos Camacho","2020-12-04","3.0","Be weary of the charger","Out of the box this thing was great. But the issues came when the battery died. Could not figure out the reason why it wasn’t charging. Magnetic charger ended up being the issue. Wish they weren’t so cheap.","https://www.amazon.com/gp/customer-reviews/R3C2XHY9TTNLQ0","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX460_.png","","true","en","","R3C2XHY9TTNLQ0","","https://www.amazon.com/New-Apple-Watch-SE-40mm/dp/B08J5ZRFRG/ref=sr_1_1?dchild=1&keywords=apple watch&qid=1607388738&refinements=p_89:Apple&rnid=2528832011&s=wearable-tech&sr=1-1"
"1698828229","Gant","2020-12-04","5.0","OBSESSED!","This is my first apple watch and I just love it! there wasn't a chance in hell I was going to buy the 6 for $600. I would never justify the need for it. But, THIS is perfect!","https://www.amazon.com/gp/customer-reviews/RQLM9J08ZYHZD","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/4b6de82a-c341-47a4-b868-5847f3177800._CR0,0.0,333,333_SX460_.jpg","","true","en","","RQLM9J08ZYHZD","","https://www.amazon.com/New-Apple-Watch-SE-40mm/dp/B08J5ZRFRG/ref=sr_1_1?dchild=1&keywords=apple watch&qid=1607388738&refinements=p_89:Apple&rnid=2528832011&s=wearable-tech&sr=1-1"
"1698828231","Melvin e. Seguin Jr","2020-12-04","5.0","Happy with the purchase.","Purchased for my daughter's 16th birthday. She loves it. I'm an android guy, but she says its great.","https://www.amazon.com/gp/customer-reviews/R28VXESULOUX8Z","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX460_.png","","true","en","","R28VXESULOUX8Z","","https://www.amazon.com/New-Apple-Watch-SE-40mm/dp/B08J5ZRFRG/ref=sr_1_1?dchild=1&keywords=apple watch&qid=1607388738&refinements=p_89:Apple&rnid=2528832011&s=wearable-tech&sr=1-1"
"1698828232","David Song","2020-12-04","5.0","Looking for a watch? Buy this!","Beautiful design and affordable price!Simple and easy to use and set up was super easy & SE had most the features of the 6.","https://www.amazon.com/gp/customer-reviews/R27E591TNWTNGB","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX460_.png","","true","en","","R27E591TNWTNGB","","https://www.amazon.com/New-Apple-Watch-SE-40mm/dp/B08J5ZRFRG/ref=sr_1_1?dchild=1&keywords=apple watch&qid=1607388738&refinements=p_89:Apple&rnid=2528832011&s=wearable-tech&sr=1-1"
